reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
96a94dec-e463-492b-97bf-ae7b107348bd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"enak betul bank digital ini mantap, saat ini lumayan bagus ketika menggunakannya, gak beriklan, bug & tidak lemot, jadi nyamanlah bertransaksi dan membuka-buka setiap detail dari menu""nya. Tapi kadang juga appsnya agak-agak susah di oprasikan disaat jaringan yang di gunakan lagi tidak bagus atau kurang stabil, jadi biasa loading terlalu lama dan bisa kebuka kalo konekainya sudah bagus, cuman itu sedikit kendala kecil yang biasa terjadi saat di pakai, selain itu apps nya berjalan dgn semestinya..",5,695,3.15.0,2025-04-03 23:20:22,,,3.15.0
923be786-635d-444f-8288-696bcb0f61cc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"enak oke appsnya mantap bener, saat ini lumayan enak ketika menggunakannya, gak ada iklannya, bug dan tdk lemot, jadi baguslah bertransaksi dan membuka setiap detail dari menu-menunya. Tapi kadang juga aplikasinya agak susah di oprasikan saat jaringan yang digunakan lagi tidak bagus atau kurang stabil, jadi loading nya agak lama dan bisa di buka kalo koneksinya sudah stabil, itu sdikit kndala kecil yg biasa ada di apps ini, selebihnya appsnya berjalan dgn normal, aman dan terpercaya.",5,636,3.15.0,2025-04-02 23:55:45,"Hi Sobat SeaBank. Mohon maaf ya. Terkait kendala kamu, pastikan sudah update Aplikasi SeaBank, jaringan stabil, force close, clear cache, dan instal ulang. Jika masih terkendala silakan hubungi CS SeaBank di nomor 1500130 agar dapat dibantu pengecekannya. Semoga kendalanya dapat segera teratasi 🙏",2025-04-05 07:55:26,3.15.0
08d5e0fe-dd5a-47f0-8c42-de0f30d36420,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"enakk betul aplikasi ini, sekarang ini lumayan bagus ketika menggunakannya, gak beriklan, bug & tidak lemot, jadi nyamanlah bertransaksi dan membuka-buka setiap detail dari fitur""nya. Tapi kadang juga appsnya agak-agak susah dibukanya disaat jaringan yang di gunakan lagi tidak bagus atau kurang stabil, jadi biasa loading trlalu lama dan bisa kebuka kalo konekainya sudah stabil, cuman itu sedikit kendala kecil yang biasa terjadi saat di pakai, selain itu apps nya berjalan dgn lancar dan cepat",5,678,3.15.0,2025-04-03 18:11:44,,,3.15.0
605d0b23-b9cf-4f14-8fc3-ebd4fa430821,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Enak banget appsnya lancar betul, saat ini lumayan enak ketika menggunakannya, gak ada iklannya, bug dan tdk lemot, jadi baguslah bertransaksi dan membuka setiap detail dari menu-menunya. Tapi kadang juga aplikasinya agak susah di oprasikan saat jaringan yang digunakan lagi tidak bagus atau kurang stabil, jadi loading nya agak lama dan bisa di buka kalo koneksinya sudah stabil, itu sdikit kndala kecil yg biasa ada di apps ini, selebihnya appsnya berjalan dgn normal, aman banget pokoknya.",5,509,3.15.0,2025-04-02 22:40:41,"Hi Sobat SeaBank, mohon maaf. Untuk kendalanya pastikan sudah update Aplikasi SeaBank, jaringan stabil, force close, clear cache dan instal ulang. Jika masih terkendala silakan hubungi CS SeaBank di nomor 1500130 untuk pengecekan lanjut karena membutuhkan verifikasi data. Semoga kendalanya segera terselesaikan🙏",2025-04-02 20:16:08,3.15.0
67008cf9-3e1c-48de-83fd-ebb598a66612,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Enak banget sea bank mantap betul, saat ini lumayan enak ketika menggunakannya, gak ada iklannya, bug dan tdk lemot, jadi baguslah bertransaksi dan membuka setiap detail dari menu-menunya. Tapi kadang juga aplikasinya agak susah di jalankan saat jaringan yang digunakan lagi tidak bagus atau kurang stabil, jadi loading nya agak lama dan bisa di buka kalo koneksinya sudah stabil, itu sdikit kndala kecil yg biasa ada di apps ini, selebihnya appsnya berjalan dgn normal, terpercaya dan aman",5,501,3.16.2,2025-04-01 21:39:32,,,3.16.2
5eb145b2-25ff-4ae5-beeb-767802c4d3a4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Enak-suka banget digunakan, tanpa ada iklan, bug ataupun lelet-lelet, jadi senang menjelajahi semua menu menunya. Sayangnya aplikasunya juga kadang agak lambat loading ketika memakainya pada saat jaringa gak maximal alias jaringan pas pasan, hanya itu sih sedikit kendala yang biasa ada pada aplikasi ini, selain dari itu aplikasi paling aman dan trpercaya sebagai aplikasi perbankan, setiap transaksinya hanya dalam hitungan detik, setiap transfer kesemua bank biaya adminnya tdk ada, smua gratis",5,640,3.15.0,2025-03-31 01:21:09,,,3.15.0
b80673a3-af85-4483-aeb1-a997effb5a7e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bagus2 memberikan kemudahan bertransaksi pembayaran dan lainlainnya, salah satu apps perbankan paling aman dan terpercaya, saat digunakan gak ada iklan, bug dan lemot, namun terkadang ada kendala ketika jaringan yang digunakan tidak stabil atau kurang maximal kadang sea bank cuman berputar putar mentong di menu loging, itu ajah sih saya kira selebihnya saat bertransaksi aplikasinya lancar gak pernah pending pending, nyaman mnikmti transfer ke smua bank tanpa adanya biaya admin nya.",5,257,3.15.0,2025-03-24 23:25:24,"Hai Sobat SeaBank, terimakasih atas review dan mohon maaf jika pelayanan kami belum memuaskan. Kami akan berusaha memberikan kemudahan dan kenyamanan bertransaksi di Aplikasi SeaBank. Apabila ada kendala pada Aplikasi SeaBank, kamu dapat menghubungi CS SeaBank di 1500130 atau layanan live chat kami ya. Semoga kendalanya segera terselesaikan. 🙏",2025-03-25 07:32:11,3.15.0
d51b70d2-7192-44bf-97d6-07add5d4ef24,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Terbagus enak nyaman memakainya, tanpa iklan, bug ataupun lelet, suka sekali bertransaksi dan membuka buka fiturnya. sayangnya terkadang agak susah juga mengakses appsnya ketika menggunakan jaringan yang tidak bagus, alhasil kadang cuman berputar putar loadingnya lama, teruntuk yang lainnya gak ada gangguan, pengalaman selama memakainya aplikasinya aman dan terpercaya, kalo diginakan brtransaksi cuman dalam hitungan detik sukses, disini jg transfer kesemua bank dan ewallet tanpa biaya admin.",5,558,3.15.0,2025-03-28 23:52:42,"Hi Sobat SeaBank. Mohon maaf atas ketidaknyamanannya. Untuk kendalanya pastikan sudah update Aplikasi SeaBank, jaringan stabil, force close, clear cache, dan instal ulang. Jika masih terkendala kami sarankan hubungi CS SeaBank di nomor 1500130 untuk pengecekan lanjut karena membutuhkan verifikasi data. Semoga kendalanya segera terselesaikan 🙏",2025-03-28 16:12:45,3.15.0
9e2c711b-5aac-4da5-aba9-33ea9bb34638,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Enak2 👍banget digunain tanpa ada iklan, bug ataupun lelet-lelet, jadi senang menjelajahi semua menu menunya. Sayangnya aplikasunya juga kadang agak lambat loading ketika memakainya pada saat jaringa gak maximal alias jaringan pas pasan, hanya itu sih sedikit kendala yang biasa ada pada aplikasi ini, selain dari itu aplikasi paling aman dan trpercaya sebagai bank digital, setiap transaksinya hanya dalam hitungan detik, setiap transfer kesemua bank biaya adminnya tdk ada, smua free",5,476,3.16.2,2025-03-31 23:27:31,"Hi Sobat SeaBank. Terima kasih atas reviewnya dan mohon maaf ketidaknyamanannya. Untuk kendalanya pastikan sudah update Aplikasi SeaBank versi terbaru, jaringan stabil, force close dan clear cache. Jika masih terkendala kami sarankan hubungi CS SeaBank di nomor 1500130 untuk pengecekan lanjut. Semoga kendalanya segera terselesaikan 🙏",2025-04-01 04:04:13,3.16.2
67973dd2-844f-4d45-9124-15577aef676d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"enak betul betul bank digital yang satu ini, saat ini nyaman banget ketika menggunakannya, tidak ada iklan bug dan juga lemot, jadi nyamanlah bertransaksi dan membuka setiap detail dari fitur-fiturnya, namun terkadang aplikasinya agak susah dijalankan ketika jaringan yang digunakan kurang maksimal atau sedang gangguan, jadi biasanya loadingnya terlalu lama dan bisa kebuka kalau koneksinya sudah berjalan dengan lancar, itu aja sih kendala yang sering ada di aplikasi ini untuk selebihnya oke.",5,2,3.16.2,2025-04-05 23:59:51,,,3.16.2
